PAPER NUMBER,PAPER NAME,YEAR
1,Rich feature hierarchies for accurate object detection and semantic segmentation,2014
2,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2015
3,Fast R-CNN,2015
4,"You Only Look Once: Unified, Real-Time Object Detection",2016
5,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,2015
6,"YOLO9000: Better, Faster, Stronger",2016
7,Deep Neural Networks for Object Detection,2014
8,R-FCN: Object Detection via Region-based Fully Convolutional Networks,2016
9,Scalable Object Detection using Deep Neural Networks,2013
10,Object Detectors Emerge in Deep Scene CNNs,2015
11,Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks,2015
12,Feature Pyramid Networks for Object Detection,2017
13,Training Region-based Object Detectors with Online Hard Example Mining,2016
14,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,2016
15,Object detection via a multi-region & semantic segmentation-aware CNN model,2015
16,Speed/accuracy trade-offs for modern convolutional object detectors,2016
17,DeepID-Net: Deformable Deep Convolutional Neural Networks for Object Detection,2015
18,"Scalable, High-Quality Object Detection",2015
19,HyperNet: Towards Accurate Region Proposal Generation and Joint Object Detection,2016
20,Focal Loss for Dense Object Detection,2017
21,Exploit All the Layers: Fast and Accurate CNN Object Detector with Scale Dependent Pooling and Cascaded Rejection Classifiers,2016
22,Improving Object Detection with Deep Convolutional Networks via Bayesian Optimization and Structured Prediction,2016
23,Object Detection Networks on Convolutional Feature Maps,2016
24,A MultiPath Network for Object Detection,2016
25,DeepBox: Learning Objectness with Convolutional Networks,2015
26,segDeepM: Exploiting Segmentation and Context in Deep Neural Networks for Object Detection,2015
27,DSSD : Deconvolutional Single Shot Detector,2017
28,Subcategory-aware Convolutional Neural Networks for Object Proposals and Detection,2016
29,"SqueezeDet: Unified, Small, Low Power Fully Convolutional Neural Networks for Real-Time Object Detection for Autonomous Driving",2017
30,A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection,2017
31,Beyond Skip Connections: Top-Down Modulation for Object Detection,2017
32,R-CNN minus R,2015
33,CRAFT Objects from Images,2016
34,G-CNN: an Iterative Grid Based Object Detector,2015
35,Accurate Single Stage Detector Using Recurrent Rolling Convolution,2017
36,Perceptual Generative Adversarial Networks for Small Object Detection,2017
37,Contextual Priming and Feedback for Faster R-CNN,2016
38,Crafting GBD-Net for Object Detection,2016
39,Gated Bi-directional CNN for Object Detection,2016
40,RON: Reverse Connection with Objectness Prior Networks for Object Detection,2017
41,DSOD: Learning Deeply Supervised Object Detectors from Scratch,2017
42,An Implementation of Faster RCNN with Study for Region Sampling,2017
43,Adaptive Object Detection Using Adjacency and Zoom Prediction,2015
44,Recurrent Scale Approximation for Object Detection in CNN,2017
45,PVANet: Lightweight Deep Neural Networks for Real-time Object Detection,2016
46,Incremental Learning of Object Detectors without Catastrophic Forgetting,2017
47,Enhancement of SSD by concatenating feature maps for object detection,2017
48,Deep Occlusion Reasoning for Multi-Camera Multi-Target Detection,2017
