METHOD,PAPER NUMBER,PROPOSED,TASK,ROUGE-1,ROUGE-2,F1-SCORE
Peer T,20,1,1,0.3306,0.0806,
ClusterHITS∗,20,1,1,0.3742,0.0681,
LexRank,20,1,1,0.3322,0.0576,
Ur,20,0,1,0.3428,0.0666,
Sr,20,0,1,0.3406,0.0665,
U+Sr,20,0,1,0.3398,0.0654,
R2N2_GA,20,0,1,0.3588,0.0764,
R2N2_ILP,20,0,1,0.3691,0.0787,
Peer T,37,0,1,0.3303,0.0786,
SVR,37,0,1,0.2978,0.0601,
R2N2,37,0,1,0.3588,0.0764,
NoTC,37,1,1,0.3345,0.0607,
EmSim,37,1,1,0.2466,0.0267,
SingleT,37,1,1,0.3522,0.0742,
TCSum,37,1,1,0.3645,0.0766,
Pourvali et. al.,7,1,1,0.47656,0.18451,0.48124
NetSum,7,0,1,0.46427,0.17697,0.47267
CRF,7,0,1,0.45512,0.17327,0.46435
SVM,7,0,1,0.44628,0.17018,0.45357
Manifold-Ranking,7,0,1,0.43359,0.16635,0.44368
