METHOD,PAPER NUMBER,PROPOSED,ROUGE-1,ROUGE-2,ROUGE-SU4
QODE,9,1,0.3751,0.0775,0.1341
Manifold-ranking,9,0,0.3839,0.0737,0.1317
Multiple-modality,9,0,0.3718,0.0676,0.1293
Document-sensitive,9,0,,0.0771,0.1337
SVM Classification,9,0,0.3663,0.0701,0.1243
Ranking SVM,9,0,0.3702,0.0711,0.1299
Regression,9,0,0.377,0.0761,0.1329
Greedy Search,9,0,0.356,0.061,
MMR,9,0,0.3701,0.0701,0.1289
ILP,9,0,0.358,0.061,
NIST Baseline,9,0,,0.0403,0.0872
LEAD,26,0,0.2971,0.0469,
QUERY_SIM,26,0,0.3295,0.0591,
SVR,26,0,0.3691,0.0704,
MultiMR,26,0,0.3558,0.0681,
DocEmb,26,0,0.3059,0.0469,
ISOLATION,26,0,0.3572,0.0679,
AttSum,26,1,0.3701,0.0699,
